ja,zh_Hans
ケツアルカトル,羽蛇神
アメノウズメ,天钿女
セイテンタイセイ,齐天大圣
キングー,金固
クシナダヒメ,奇稻田姬
サティ,娑提
ナーガラジャ,那伽王
ラクシュミ,吉祥天女
ゴルフクラブ,高尔夫球杆
チタンクラブ,钛制高尔夫球杆
5番アイアンソード,五号铁剑
模造刀,仿真刀
武蔵の竹刀,武藏的竹刀
ロングソード,长剑
ツヴァイハンダー,双手剑
居合刀,居合刀
バスタードソード,混种巨剑
ゴシックソード,哥特剑
九十八式軍刀,九十八式军刀
じゃじゃぶりの剣,倾盆大雨之剑
エッジ,刀锋
影断,断影
グレートソード,大剑
乱れ波紋,缭乱波纹
アングレーズ,英式长剑
利刀・杜若,利刀·杜若
クチナシの剣,栀子剑
剣華,剑华
クリーク,流水剑
鬼神刀,鬼神刀
ナンバーワン,NO.1
ガイアソード,盖亚之剑
名刀・椿落とし,名刀·椿落
伝説風ソード,传说风格的剑
七星剣,七星剑
エル・カリエンテ,热情之剑
八尋の剣,八寻之剑
トライアンフ,胜利之剑
タヂカラオの刀,天手力神之刀
布都御魂,布都御魂
ソウルクラッシュ,碎魂
木製バット,木制球棒
金属バット,金属球棒
十握剣,十握剑
モンキーレンチ,活动扳手
チタン製レンチ,钛制扳手
熟練スパナ,熟练扳手
狩猟鉈,狩猎柴刀
苦無,苦无
毒塗りの苦無,涂毒苦无
レインスキナー,剥皮小刀
山刀,山刀
小柄,小柄
飛び苦無,投掷苦无
クリスナーガ,波状剑
懐剣,怀剑
馬針,马针
八塩折の紐小刀,精制小绳刀
八島,八岛
縁切り,缘斩
雨血の苦無,血雨苦无
おどろしの苦無,惊骇苦无
カスティリアナイフ,卡斯蒂利亚小刀
火遠命,火远命
飛び加藤,飞鸢加藤
芭蕉,芭蕉
とうぞくのナイフ,盗贼小刀
風魔小太郎,风魔小太郎
ミリシアダガー,民兵匕首
ブリッツナイフ,闪电小刀
ハットリ,服部
オーガトゥース,巨魔之牙
乱破,乱破
果心居士,果心居士
松雪包丁,松雪菜刀
マルアーク,告信天使
京扇子,京扇
絹扇,绢扇
孔雀の尾羽,孔雀尾羽
荒梅雨の扇,荒梅雨之扇
鉄扇,铁扇
マスカレイド,化装舞会
秋雨の扇,秋雨之扇
花散里,花散里
貴婦人の誘惑,贵妇人的诱惑
返しの扇,反弹之扇
雨行扇,雨行扇
虎落笛,虎落笛
浮気なマダム,外遇夫人
ガナール,胜利之扇
遊女の情け,游女之情
コルテシア,礼仪之扇
雨飛扇,雨飞扇
アドラシオン,崇拜之扇
鈴虫,铃虫
公爵夫人,公爵夫人
ノブレスオブリージュ,贵族风范
ホトトギス,杜鹃鸟
セクレト,秘密
花鳥風月,花鸟风月
ピエダ,悲悯
夢浮橋,梦浮桥
能扇,能扇
原初の海,原初之海
革靴,皮鞋
紅葉の具足,红叶足铠
プロテクトブーツ,防护靴
南蛮具足,南蛮足铠
ツッパリシューズ,威吓之鞋
ハードブーツ,硬靴
錬足の甲,炼足之甲
アディオスシューズ,离别之鞋
ナイスシューズ,好鞋子
カウボーイブーツ,牛仔靴
ヘヴィ・ヒール,沈重高跟鞋
足甲・毘沙門天,足甲·毘沙门天
雨見の兵脚,观雨兵脚
足甲・風林火山,足甲·风林火山
跳ね馬シューズ,悍马鞋
スレイプニール,神驹鞋
四神の足甲,四神足甲
ヴァンピール・シュー,吸血鬼之鞋
ミョルニルブーツ,姆乔尔尼尔之靴
ヴィーザルの靴,维达尔之靴
金陀美具足,金陀美足铠
ステラグリーブ,恒星护胫
英雄の具足,英雄足铠
魔人のブーツ,魔人之靴
蹴速,蹴速
ギガントフォール,巨人坠落
無双の踵,无双脚跟
裁きの軍靴,制裁军靴
鋼鉄シンデレラ,钢铁灰姑娘
厚底スニーカー,厚底运动鞋
モーセの奇跡,摩西的奇迹
パイプ椅子,折叠椅
鋼鉄板,钢板
ハードボード,硬板
フォトンプレート,光子板
パワープレート,力量板
超合金プレート,超级合金板
サンダープレート,雷电板
ゴルゴンプレート,戈耳工板
スクトウム,古罗马盾
蛮族の盾,蛮族之盾
黄金板,黄金板
魔人の盾,魔人之盾
メガバックラー,强力圆盾
大鬼瓦,大鬼瓦
お手製風呂板,手工澡缸盖
デススクーデット,死亡小盾
ファランクス,方阵
ソルブレーカー,烈阳破坏者
アストゥリアス,阿斯图里亚斯
ブラックタージュ,黑盾
イージスの盾,神盾
デュラハーン,无头骑士
ジーザスミラー,耶稣镜
八高デスク,八高课桌
鉄板,铁板
ペルーンプレート,霹隆板
ナンブ2,南部2
ピースメーカー,和平制造者
レイジングブル,愤怒公牛
紅の挽歌,红之挽歌
44アナコンダ,44巨蟒
禍津の牙,祸津之牙
クロムハート,铬心
ユピテルサンダー,朱庇特之雷
アンリミテッド,无限
キャメルレッド,驼红
アルジャーノン,阿尔吉侬
フロムゼロ,从零开始
ジャッジオブヘル,地狱审判
キスオブジアテナR,雅典娜之吻R
ブラックホール,黑洞
とげとげパンチ,刺刺拳
にゃん2クロー,喵2爪
ベアークロー,熊爪
ドランクパンチ,醉拳
台風クロウ,台风爪
メイルダスター,削甲者
エア・ブレイク,空·破
猛毒爪,猛毒爪
アサルトスパイク,尖锐攻击
無間の爪,无间之爪
キューティアサシン,可爱刺客
チェーンクラブ,锁链拳套
風魔流分銅爪,风魔流分铜爪
ストレガクロー,魔女之爪
イノセントアサシン,无邪刺客
ニードルスパイク,针击
青龍の爪,青龙之爪
蛇骨重爪,蛇骨重爪
七星蛇骨爪,七星蛇骨爪
プラチナクロー,白金爪
ザ・リッパー,开膛手
精霊牙,精灵牙
素手,空手
Tシャツ,T恤
ロングTシャツ,长版T恤
タンクトップ,短背心
レースブラウス,蕾丝罩衫
ゴシックシャツ,哥特衬衫
ドクロTシャツ,骷髅T恤
ぷりちースーツ,美丽套装
レースキャミ,蕾丝吊带背心
鎖かたびら,锁子甲
ケブラーベスト,凯夫拉背心
サバイバルガード,生存护具
メタルジャケット,金属夹克
唐獅子の半纏,唐狮子短褂
まじないローブ,咒语长袍
耐刃ジャケット,防刃夹克
バトルキャミ,战斗内衣
胴丸,胴丸
水織のシャツ,水织衬衫
決死の胸当て,赴死护胸
コンバットドレス,战斗服
紳士タキシード,绅士燕尾服
ハードボレロ,厚夹克
黒岩の鎧,黑岩之铠
ウルフチュニック,狼装
ナイトスケイル,骑士鳞甲
アクションベスト,行动背心
ハードアーマー,坚硬盔甲
雨男の鎧,雨男之铠
雫の小袖,水滴短衣
プレートメイル,板金甲胄
首星の羽衣,一等星羽衣
雨隠の鎧,雨隐之铠
雨風祭りの半被,风雨祭法披
熱血ジャージ,热血运动服
鋼鉄のパニエ,钢铁蓬裙
仁義のふんどし,仁义兜裆布
そよ風のチュチュ,微风纱裙
ハイカラ肌着,时髦内衣
黒糸威の大鎧,黑绳武士大铠
ディバインブラウス,神圣罩衫
紫のスーツ,紫色套装
禍避けのケープ,避灾披肩
雨武者の鎧,雨武者之铠
無敵のミニ,无敌迷你裙
滝登りの服,登瀑布之服
アルマダビスチェ,无敌马甲
ハリケーンジャケット,飓风夹克
雨淫の羽織,霪雨羽织
聖騎士のヨロイ,圣骑士之铠
龍鱗,龙鳞
ミュトスローブ,神话长袍
粋な着流し,潇洒轻便和服
蘭陵王の装束,兰陵王装束
雨上がり決死鎧,雨后死斗铠甲
エリントダッフル,电侦牛角扣大衣
オラクルガウン,神谕长袍
ルーンドレス,符文礼服
魅惑のドレープ,魅力垂感礼裙
桃色の戦闘服,粉色战斗服
赤い戦闘服,红色战斗服
万鋲コート,铆钉大衣
菊水の袷,菊水夹衣
御神楽ベスト,御神乐背心
言霊のケープ,言灵披肩
狛龍の打衣,石龙打衣
森羅の掛け衣,森罗挂衣
プロワーニュ,铁环防御衣
ミズハの鎧,水神之铠
月読の直衣,月读直衣
天照の単,天照单衣
エンジェルスカート,天使之裙
オペラコート,指挥大衣
黄泉の袖,黄泉之袖
ロリカスクアマタ,罗马鳞甲
金剛銘仙,金刚铭仙
徹底の陣羽織,贯彻阵羽织
破天の薄衣,破天薄衣
ぬばたまの御衣,乌珠御衣
ウズメの衣,钿女之衣
そに鳥の御衣,翠鸟御衣
マンダラ衣,曼陀罗衣
神衣,神衣
白布の浄衣,白布净衣
炎帯びの浄衣,带焰净衣
氷帯びの浄衣,带冰净衣
風帯びの浄衣,带风净衣
雷帯びの浄衣,带雷净衣
火炎返しの浄衣,反弹火焰净衣
氷結返しの浄衣,反弹冰冻净衣
疾風返しの浄衣,反弹疾风净衣
電撃返しの浄衣,反弹电击净衣
火囲いの浄衣,缠火净衣
氷囲いの浄衣,缠冰净衣
風囲いの浄衣,缠风净衣
雷囲いの浄衣,缠雷净衣
リストウォッチ,腕表
プレーンリング,普通戒指
缶バッジ,别针徽章
ヘアーバンド,发带
スパイラルピアス,螺旋耳环
シルバーロケット,白银空心坠饰
クマミミ,熊耳
リボン,蝴蝶结
ボロボロの念珠,破旧的念珠
火の誓願,火之誓愿
炎の誓願,炎之誓愿
焔の誓願,焰之誓愿
たたらの誓願,踏鞴之誓愿
カグツチの誓願,迦具土之誓愿
氷の誓願,冰之誓愿
雪の誓願,雪之誓愿
吹雪の誓願,吹雪之誓愿
垂氷の誓願,垂冰之誓愿
クラオカミの誓願,暗淤加美之誓愿
風の誓願,风之誓愿
暴風の誓願,暴风之誓愿
嵐の誓願,岚之誓愿
野分の誓願,台风之誓愿
シナトベの誓願,级长户边之誓愿
雷の誓願,雷之誓愿
雷震の誓願,雷震之誓愿
鳴神の誓願,鸣神之誓愿
おどろしの誓願,惊骇之誓愿
タケフツの誓願,建布都之誓愿
ボロボロの守り札,破旧的护身符
火のブローチ,火之胸针
炎のブローチ,炎之胸针
焔のブローチ,焰之胸针
たたらのブローチ,踏鞴之胸针
カグツチのブローチ,迦具土之胸针
氷のブローチ,冰之胸针
雪のブローチ,雪之胸针
吹雪のブローチ,吹雪之胸针
垂氷のブローチ,垂冰之胸针
クラオカミのブローチ,暗淤加美之胸针
風のブローチ,风之胸针
暴風のブローチ,暴风之胸针
嵐のブローチ,岚之胸针
野分のブローチ,台风之胸针
シナトベのブローチ,级长户边之胸针
雷のブローチ,雷之胸针
雷震のブローチ,雷震之胸针
鳴神のブローチ,鸣神之胸针
おどろしのブローチ,惊骇之胸针
タケフツのブローチ,建布都之胸针
ボロボロの魔眼,破旧的魔眼
必中の魔眼(壱),必中之魔眼(壹)
必中の魔眼(弐),必中之魔眼(贰)
必中の魔眼(参),必中之魔眼(参)
必中の魔眼(四),必中之魔眼(肆)
必中の魔眼(伍),必中之魔眼(伍)
ボロボロの数珠,破旧的数珠
見切りの数珠(壱),识破之念珠(壹)
見切りの数珠(弐),识破之念珠(贰)
見切りの数珠(参),识破之念珠(参)
見切りの数珠(四),识破之念珠(肆)
見切りの数珠(伍),识破之念珠(伍)
消毒スプレー,消毒喷雾
平静の仏像,平静的佛像
勇気の器,勇气之器
ヘルシーレシピ,健康食谱
若衆のはちまき,年轻人的头巾
クールビーズ,冰凉串珠
安全ベルト,安全带
偽りの仮面,虚伪面具
防毒マスク,防毒面具
サクラン帽子,错乱帽子
肝っ珠,大胆珠
息災の護摩,消灾护法
ヤング律管,年轻律管
冷徹のバラ,冷酷蔷薇
目覚まし時計,闹钟
真実の仮面,真实面具
滅却の書,灭却之书
無心の書,无心之书
虚無の書,虚无之书
天使の羽,天使之羽
堕天使の羽,堕天使之羽
鷹の目,鹰之眼
鷲の目,鹫之眼
火伏せの符,伏火之符
炎神の瞳,炎神之瞳
氷伏せの符,伏冰之符
氷神の瞳,冰神之瞳
風伏せの符,降风之符
風神の瞳,风神之瞳
雷伏せの符,降雷之符
雷神の瞳,雷神之瞳
全能の真球,全能真球
猫の髭,猫须
リベンジリング,复仇戒指
報復の鎖,报复锁链
復讐の鬼面,复仇鬼面
大地シール,大地贴纸
地球シール,地球贴纸
宇宙シール,宇宙贴纸
方士バッジ,方士徽章
道士バッジ,道士徽章
仙人バッジ,仙人徽章
テイクノート,随手笔记
シグマドライブ,西格马驱动
オメガドライブ,奥米伽驱动
蛮神の腕輪,蛮神手镯
完全神柱,完全神柱
チャクラリング,脉轮戒指
ルドラリング,楼陀罗戒指
祝福の手,祝福之手
我慢の首輪,忍耐项圈
復活の預言書,复活预言书
豆絞り,小圆点布巾
力帯,力量腰带
力だすき,力量束袖带
気合はちまき,气势头巾
祭り太鼓,庆典太鼓
パワーマッスル,力量肌肉
とかげチャーム,蜥蜴吊饰
からすチャーム,乌鸦吊饰
コウモリチャーム,蝙蝠吊饰
黒猫チャーム,黑猫吊饰
魔女チャーム,魔女吊饰
マジカルトランス,魔力转换
おまもり,护身符
タリスマン,护符
ガードアミュレット,防御护身符
鉄の護符,铁之护符
守神のロザリオ,守护神的连珠项链
極意ディフェンス,极致防守
羽のストラップ,羽之挂绳
翼のストラップ,翼之挂绳
風切羽のストラップ,斩风羽挂绳
駿馬のストラップ,骏马挂绳
ペガサスのストラップ,飞马挂绳
スピードスター,速度之星
幸運のコイン,幸运硬币
うさぎの足,兔脚
銀のスプーン,银汤匙
まねきネコ,招财猫
木彫りのえびす,木雕惠比寿
ラッキーセブン,幸运7
風水ブレスレット,风水手链
気脈ブレスレット,气脉手链
竜脈ブレスレット,龙脉手链
霊泉ブレスレット,灵泉手链
応龍ブレスレット,应龙手链
神の寵愛,神之宠爱
元気の根付,元气坠饰
生命の根付,生命坠饰
天照の根付,天照坠饰
ラベンダーポプリ,熏衣草香包
ソウルポプリ,灵魂香包
月読ポプリ,月读香包
ファイヤバングル,火焰手环
アグニバングル,阿耆尼手环
アイスバングル,寒冰手环
ヴァルナバングル,伐楼拿手环
サンダーバングル,闪电手环
インドラバングル,因陀罗手环
ウインドバングル,狂风手环
ヴァーユバングル,伐由手环
別れの管玉,离别玉管
痛みの管玉,疼痛玉管
憂いの管玉,忧郁玉管
哀しみの管玉,悲伤玉管
慈しみの管玉,慈爱玉管
苦しみの管玉,痛苦玉管
怒りの管玉,愤怒玉管
寂しみの管玉,孤寂玉管
誘いの管玉,邀约玉管
似顔絵付きメダル,肖像画奖牌
紙粘土の腕輪,纸黏土手镯
ビーズの指輪,串珠戒指
書きかけの表彰状,没写完的奖状
読書王の称号,书王称号
漢の勲章,男子汉的勋章
ふかふかマフラー,柔软围巾
革のキーホルダー,皮革钥匙圈
シルバーバングル,白银护腕
手作り腕時計,手工手表
ゴツめの指輪,粗大的戒指
高級ミニカー,高级迷你车
手編みのミトン,手织连指手套
白桃の実,白桃果实
軟膏薬,软膏药
ヒールゼリー,治疗凝胶
緊急医療キット,紧急医疗包
マカの葉,马卡叶
ソウルドロップ,灵魂糖果
ソウルフード,灵魂食品
地返しの玉,返地玉
反魂香,返魂香
ロイヤルゼリー,蜂王浆
どくだみ茶,鱼腥草茶
うがい薬,漱口水
鎮静剤,镇定剂
気付け薬,提神药
カエレール,回家轨道
ドロン玉,遁逃弹
ソーマ,苏摩
アムリタソーダ,甘露苏打水
ヒランヤ,六芒星
マッスルドリンコ,肌肉饮料
ミステリーフード,神秘食品
スメルグレイビー,香气卤汁
月神の突羽根,月神板羽球
魔反鏡,魔反镜
物反鏡,物反镜
強襲の狼煙,强袭狼烟
スーパーソニック,超音速
金剛シールド,金刚盾
お清めの水,清净之水
お清めの塩,清净之盐
ロケット花火,冲天炮
三寸玉,三寸玉
角氷,冰块
ドライアイス,干冰
風車,风车
弥七,弥七
デンデン太鼓,拨浪鼓
テスラコイル,特斯拉线圈
風船爆弾,气球炸弹
せがき米,施饿鬼米
呪殺ペーパー,咒杀纸
業火の勾玉,业火勾玉
狂風の勾玉,狂风勾玉
烈寒の勾玉,烈寒勾玉
紫電の勾玉,紫电勾玉
アメジスト,紫水晶
アクアマリン,海蓝宝石
エメラルド,祖母绿
オニキス,缟玛瑙
オパール,蛋白石
ガーネット,石榴石
サファイヤ,蓝宝石
ダイヤモンド,钻石
ターコイズ,绿松石
トパーズ,黄玉
パール,珍珠
ホムンクルス,人造人
宝箱の鍵,宝箱钥匙
ジュネスの惣菜弁当,朱尼斯的家常菜便当
ビフテキ串DX,牛排串DX
天城屋まんじゅう,天城屋馒头
おふくろ弁当,老妈便当
やる気メカmini,干劲机器mini
試食おつまみセット,试吃零食组合
フルフルのど飴,果汁润喉糖
肉ガム,肉汁口香糖
ケロリーマジック,卡路里魔法
骨せんべい,骨仙贝
ミルクチョコ,牛奶巧克力
おいしいグミ,好吃软糖
ルビー,红宝石
フラいもポテト,薯条
リボンシトロン,缎带柠檬汽水
時価ネットシール,时价购物网贴纸
特製コロッケ,特制可乐饼
ビフテキコロッケ,牛排可乐饼
ビフテキ串,牛排串
胡椒博士NEO,胡椒博士NEO
盆ジュース,盂兰盆节果汁
やそぜんざい,八十红豆汤
リボンナポリン,缎带橘子汽水
雪子の手作り弁当,雪子的手工便当
千枝の手作りマフィン,千枝的手工马芬蛋糕
直斗の手作りラムネ,直斗的手工波子汽水
脈打ってる石,脉动石
神秘のスカラベ,神秘圣甲虫
楽勝命中テープ,轻松命中胶带
高揚ゲルマラジオ,高昂矿石收音机
精神ラジオ,精神收音机
ダイエットフード極,极·减肥食品
ダイエットフード真,真·减肥食品
ヘビーフード,重口味食品
メガアミノドロップ,百万氨基酸药水
練りわさびゼリー,精炼芥末果冻
野草サプリ,野草营养品
長寿サプリ,长寿营养品
虫のエサ,虫饵
高級即席コーヒー,高级速溶咖啡
高級パワーマウンテン,高级力量山
高級マジクマウンテン,高级魔术山
高級タフマウンテン,高级顽强山
高級スピドマウンテン,高级速度山
高級ラキーマウンテン,高级幸运山
炎壁砕きの符,碎炎壁之符
氷壁砕きの符,碎冰壁之符
風壁砕きの符,碎风壁之符
雷壁砕きの符,碎雷壁之符
帰還の玉串,归还之玉串
パン屑,面包屑
タツヒメテントウ,龙姬瓢虫
ヤソイナゴ,八十蝗虫
メイオウコオロギ,冥王蟋蟀
イナバタマムシ,稻羽吉丁虫
ダイミョウバッタ,大名飞蝗
ヘイケクワガタ,平家锹形虫
ゲンジカブト,源氏独角仙
情熱キャンディ,热情糖果
真心クッキー,真心曲奇
愛情マシュマロ,爱情棉花糖
りせの手作りプリン,理世的手工布丁
ミニミニメロンパン,迷你迷你蜜瓜面包
チョコメロンパン,巧克力蜜瓜面包
クリームメロンパン,奶油蜜瓜面包
チビッココロネ,豆丁螺旋面包
焼きそばコロネ,炒面螺旋面包
こしあんコロネ,豆沙馅螺旋面包
小粒あんぱん,小粒红豆面包
餅入りあんぱん,麻薯红豆面包
生クリームあんぱん,鲜奶油豆沙面包
白かりんとう,白麻花糖
米チョコ,米果巧克力
スッパ昆布,酸味昆布
梅味キャンディ,酸梅糖
七色金平糖,七色金平糖
カロリーフレンド,热量好友
コンポタせんべい,玉米浓汤口味仙贝
青唐辛子スナック,蓝色小辣椒脆饼
熟成チーズスナック,熟成芝士小吃
海苔巻きせんべい,海苔卷仙贝
漢方チョコ,中药巧克力
市松クッキー,格纹曲奇
球体キャラメル,焦糖球
果物ドロップ,水果糖
濃厚ミルク飴,浓厚牛奶糖
天使の像,天使之像
呪われそうな悪魔像,像是被诅咒的恶魔像
リッツ線,漆包铜线
トリオのカツラ,三重假发
しっくりくる板,得心应手板
古びた鍵,陈旧钥匙
いわく有りげな鉄の棒,有隐情的铁棒
石炭,桑拿石
反射板,反射板
変わった十字架,奇怪的十字架
壮麗な角,壮丽的角
フラワーブローチ,花胸针
魔除けのヴェール,除魔面纱
消えないランプ,不会熄灭的提灯
リーフポシェット,叶子小挎包
クルルマメタル,库尔鲁玛矿石
水晶玉,水晶球
極上の石炭,顶级桑拿石
高速ギア,高速齿轮
ブランチカチューシャ,铜制树叶发箍
演習弾,演习弹
動物図鑑,动物图鉴
豪華な木材,豪华木材
古い鉱石,古老矿石
慎ましやかなランプ,低调的提灯
幻の芋焼酎 森蘭丸,梦幻芋烧酒 森兰丸
海ヌシ様,海之鱼王
メグロマグロ,目黑金枪鱼
漂流ゴミ,漂流垃圾
川ヌシ様,河川鱼王
オオミズウオ,大水鱼
稲羽マス,稻羽鳟鱼
コハクヤマメ,琥珀山女鱼
源氏鮎,源氏香鱼
紅金,红金
八郎ダコ,八郎章鱼
魚のえさ,鱼饵
契約者の鍵,契约者之钥
久保美津雄の写真,久保美津雄的照片
螺鈿細工のしおり,手工贝壳书签
見晴らしの珠,真相宝珠
群青色の招待状,宝蓝色的邀请函
釣り針,鱼钩
海釣り竿,海钓竿
虫取り網,捕虫网
川釣り竿,河川钓竿
爆釣セット,疯狂钓鱼组合
原付免許,轻型摩托车驾照
ガラスの鍵,玻璃钥匙
浴場の鍵,澡堂钥匙
研究員用 認証キー,研究员用 认证密钥
幹部用 認証キー,干部用 认证密钥
くらやみのたま,黑暗之球
ベルベットチケット,天鹅绒券
ベルベットカード,天鹅绒卡
ベルベットパス,天鹅绒通行证
ベルベットSP,天鹅绒SP
違いの出る超勉強術,与众不同超级学习法
らくらく英会話,轻轻松松英语会话
本当にあった怪談百選,真人真事怪谈百选
事務作業マニュアル,机械化工作说明手册
よくわかる折り紙,简单学折纸
フードファイト心得,大胃王心得
初心者向け釣り実践本,钓鱼初学者实用书
上級者向け釣り実践本,钓鱼高手实用书
虫取りテクニック集,捕虫技巧集
虫取り超テクニック集,捕虫超级技巧集
できる!家庭菜園,谁都能打造的家庭菜园！
ハイパー速読術,超强速读术
ペルソナ全書ダミー1,人格面具全书模型1
ペルソナ全書ダミー2,人格面具全书模型2
友情の絆創膏,友情创口贴
神社のお守り,神社护身符
白蝶貝のブローチ,白蝶贝胸针
キュートなストラップ,可爱的挂绳
堂島家のマグカップ,堂岛家的马克杯
サイン入り写真,签名照片
リストバンド,护腕
家族の写真,家庭合影
お礼の絵馬,赠礼绘马
探偵バッジ,侦探徽章
一条への手紙,给一条的信
スパイクブラシ,钉梳
ジュネスのレシート,朱尼斯的收银条
古い万年筆,旧钢笔
クローバーのしおり,幸运草书签
小夜子の名札,小夜子的名牌
全国学力テスト結果,全国学习水平测试结果
コンパクトミラー,小镜子
書き込まれた台本,写满笔记的剧本
手作りのチケット,手工制作的票
足立からの手紙,来自足立的信
足立の携帯番号,足立的手机号码
古びた竹櫛,陈旧竹梳
夫からの手紙,丈夫的来信
ひさ乃の手紙,久乃的来信
女物のハンカチ,女性用手帕
白紙のカード,白色纸片
汚れた丸い財布,被弄脏的圆形钱包
汚れた四角い財布,被弄脏的长方形钱包
小さな小包,小包裹
タンキリマンシール,化痰超人贴纸
未完成のプラモデル,未完成的组合模型
量産型ブラフマン,量产型婆罗门
重武装型アグニ,重武装型阿耆尼
モコイ人形,莫克伊玩偶
近接戦闘型ハリ・ハラ,近距离战斗型诃里·诃罗
高速偵察型ディアウス,高速侦察型特尤斯
隠密機動型ヴァルナ,隐密机动型伐楼拿
防衛型プリティヴィー,防卫型地母神
素敵な漢,出色的男子汉
漢、それはエターナル,男子汉，永垂不朽
たそがれて⋯漢,斜阳下的男子汉
我は漢、そして神,我是男子汉，也是神
漢よ、さらば,再会了，男子汉
弱虫先生、今日も行く,胆小鬼老师，今天也要去
弱虫先生、お金に困る,胆小鬼老师，为钱发愁
弱虫先生、転職する,胆小鬼老师，换工作
弱虫先生と愉快な仲間,胆小鬼老师和愉快的伙伴
弱虫先生、最後の授業,胆小鬼老师，最后一堂课
THE 茶道,THE 茶道
THE 柔道,THE 柔道
THE 神道,THE 神道
THE 麺道,THE 面道
THE 外道,THE 外道
魔女探偵ラブリーン,魔女侦探小可爱
数ってなあに?,数字是什么？
害虫図鑑,害虫图鉴
なぞなぞだいすき,最爱脑筋急转弯
おおいなるそんざい,伟大的存在
臆病の玉,懦弱宝玉
我欲の飾り石,私欲的装饰石
四女の珍粉,四妹的珍粉
ギザギザハート,锯齿心
軽鉄,轻铁
重厚な皮,厚重皮革
艶やかな留め金,光辉金属扣
帯電石,带电石
魔術のクロス,魔术桌布
勇目の木材,勇目之木材
神木の塊,神木块
沈思のクロス,沈思桌布
しなやかな金属,柔韧金属
すべらかな織布,光滑织布
知性の留め金,知性金属扣
生体金属,生物金属
大きい乳歯,巨大乳齿
頑丈な臼歯,坚固臼齿
鋭い永久歯,尖锐恒齿
金剛石の犬歯,金刚石犬齿
残酷な玉,残酷宝玉
自律の重鉄,自律重铁
四男の珍粉,四弟的珍粉
虚勢の仮面,虚张声势的面具
珍奇の水糸,珍奇的水丝
希少の雨布,稀少的雨布
恋慕の珠,恋慕宝珠
クラインの壷,克莱因之壶
古文書,古文书
紅の皮表紙,红皮封面
言の葉の糸,言语丝线
預言の珠,预言宝珠
飾り石,装饰石
重鉄の塊,重铁块
試練の黒曜石,试炼之黑曜石
泰然布,泰然布
理力石,理力石
精神の薄紙,精神的薄纸
強靭な布,强韧的布
守護の文字,守护的文字
神託の布海,神托布海
虚栄の玉,虚荣宝玉
無為の岩鉄,无为岩铁
三女の珍粉,三姐的珍粉
鳥カゴの鍵,鸟笼钥匙
羽繊鉄,羽纤铁
純黒の鋼塊,纯黑钢块
神の尾羽,神之尾羽
告死の皮,告死之皮
堅石,坚石
石造りの皮,石造之皮
白磁の像,白瓷像
白銀の爪,白银之爪
毛皮の留め金,毛皮金属扣
ミンクの毛皮,貂鼠毛皮
女王の爪,女王之爪
銀狐の毛皮,银狐毛皮
毒々しい花,毒花
鎮静の花束,镇定花束
惑香の白百合,迷香白百合
百華の王,百花之王
傲慢の玉,傲慢宝玉
肥大のべっこう,肥大鳖甲
三男の珍粉,三哥的珍粉
愛の結晶,爱之结晶
鋭い角,尖锐的角
安定角,安定的角
黄金の角,黄金角
プラチナの甲羅,白金甲壳
堅い角,坚硬的角
青銅の馬具,青铜马具
鋼鉄の馬具,钢铁马具
漆黒の馬具,漆黑马具
白金の馬具,白金马具
珍奇の雨岩,珍奇的雨岩
強力石の繊維,强力石纤维
希少の雨留め,稀少的雨留
白雪の石,白雪之石
ヒゲ繊維,胡子纤维
すごいヒゲ繊維,夸张的胡子纤维
威厳の塊,威严凝聚体
白銀の糸,白银丝线
怠惰の玉,怠惰宝玉
依存の鉄塊,依存铁块
次女の珍粉,二姐的珍粉
悪意の欠片,恶意的碎片
軽くて丈夫な布,轻而耐用的布
鈍色の鉄枷,钝色铁枷
希少の滝糸,稀少的瀑丝
悪意の爪,恶意之爪
白銀の冠,白银之冠
ドグマの留め金,教义金属扣
破戒の錬鉄,破戒炼铁
破滅の冠,破灭之冠
真実の冠,真实之冠
合金のシグニチャー,合金署名
銀のシグニチャー,白银署名
黒銀のシグニチャー,黑银署名
金のシグニチャー,黄金署名
頑丈な皮,坚韧皮革
なめした皮,鞣皮
重圧金属,重压金属
白銀の塊,白银块
裏切りの玉,背叛宝玉
苦悩の黒石,苦恼黑石
次男の珍粉,二哥的珍粉
バラバラの部品,被拆散的零件
布の翼,布之翼
ピヨピヨ翼,啾啾翼
光の結晶,光之结晶
潔白の珠,洁白宝珠
情熱の留め金,热情金属扣
刃金,刃金
黄色の飾り緒,黄色饰绳
不思議の麻布,不可思议的麻布
愛の留め金,爱的金属扣
漆黒の鱗,漆黑之鳞
猛毒の牙,猛毒之牙
灼熱の鱗,灼热之鳞
銀鱗の塊,银鳞块
禁断の鱗,禁忌之鳞
キラキラ鱗粉,闪亮鳞粉
炎の鱗粉,炎之鳞粉
奇跡の鱗粉,奇迹鳞粉
愛の鱗粉,爱之鳞粉
挫折の玉,挫折宝玉
不遜の玉鋼,高傲玉钢
長女の珍粉,大姐的珍粉
珍奇の雫布,珍奇的水滴布
頑丈な房毛,坚韧鬃毛
炎鋼鉄,炎钢铁
光輝鉄,光辉铁
真鉄の歯車,真铁齿轮
固定ボルト,固定螺栓
奔流の歯車,奔流齿轮
白金の巨大歯車,巨大白金齿轮
鋼鉄の板金,钢铁板金
超合金の塊,超合金块
