ja,zh_Hans
地霊族の護符,地灵族的护符
魔人族の護符,魔人族的护符
邪鬼族の護符,邪鬼族的护符
妖獣族の護符,妖兽族的护符
破壊神族の護符,破坏神族的护符
地母神族の護符,地母神族的护符
龍神族の護符,龙神族的护符
鬼神族の護符,鬼神族的护符
国津神族の護符,国津神族的护符
鬼女族の護符,鬼女族的护符
妖鬼族の護符,妖鬼族的护符
堕天使族の護符,堕天使族的护符
夜魔族の護符,夜魔族的护符
龍王族の護符,龙王族的护符
魔王族の護符,魔王族的护符
邪龍族の護符,邪龙族的护符
外道族の護符,外道族的护符
月読命の護符,月读命的护符
珍獣族の護符,珍兽族的护符
秘神族の護符,秘神族的护符
女魔族の護符,女魔族的护符
原天使の護符,原天使的护符
大魔王の護符,大魔王的护符
至聖女の護符,至圣女的护符
混沌王の護符,混沌王的护符
スープ缶,浓汤罐头
乾電池,干电池
使い切りカメラ,一次性相机
ミニカートリッジ,迷你卡带
旅行小切手,旅行支票
王冠蓋の瓶,王冠盖的瓶子
欠けた置物,缺损的摆件
花の絵画,花的绘画
煌びやかなドレス,华美的礼裙
黒船型ゲーム機,黑船型游戏机
怪物の木乃伊,怪物木乃伊
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
アギバリオン,亚基巴力翁
トリスアギオン,多利斯亚基翁
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
マハラギバリオン,玛哈拉基巴力翁
ラグナロク,诸神黄昏
ファイアブレス,火焰之息
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
ブフバリオン,布芙巴力翁
アイスエイジ,冰河期
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
マハブフバリオン,玛哈布芙巴力翁
絶対零度,绝对零度
アイスブレス,冰冻之息
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
ジオバリオン,吉欧巴力翁
ナルカミ,鸣神
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
マハジオバリオン,玛哈吉欧巴力翁
真理の雷,真理之雷
ショックバウンド,脉冲界限
ザン,赞
ザンマ,赞玛
ザンダイン,赞达因
ザンバリオン,赞巴力翁
殺風激,杀风激
マハザン,玛哈赞
マハザンマ,玛哈赞玛
マハザンダイン,玛哈赞达因
マハザンバリオン,玛哈赞巴力翁
妖花烈風,妖花烈风
ウィンドブレス,狂风吐息
禍時：会心,祸时：会心
ムド,姆多
ムドオン,姆多翁
ムドバリオン,姆多巴力翁
マハムド,玛哈姆多
マハムドオン,玛哈姆多翁
マハムドバリオン,玛哈姆多巴力翁
ハマ,哈玛
ハマオン,哈玛翁
ハマバリオン,哈玛巴力翁
マハンマ,玛翰玛
マハンマオン,玛翰玛翁
マハンマバリオン,玛翰玛巴力翁
メギド,米吉多
メギドラ,米吉多拉
メギドラオン,米吉多拉翁
ビッグバン,大爆炸
至高の魔弾,至高魔弹
至高の魔弾・改,至高魔弹·改
吸血,吸血
吸魔,吸魔
エナジードレイン,能量抽取
まどろみの渦,睡意漩涡
ドルミナー,永眠
子守唄,摇篮曲
ポイズマ,施毒术
毒ガスブレス,猛毒之息
ソウルドレイン,灵魂抽取
放雷,放雷
プリンパ,普林帕
テンタラフー,颠塔拉弗
マリンカリン,马琳卡琳
セクシーダンス,性感之舞
マカジャマ,玛卡加玛
マカジャマオン,玛卡加玛翁
ダストマ,达斯多玛
フォッグナー,弗格纳
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
メディア,梅迪亚
メディラマ,梅迪拉玛
メディアラハン,梅迪亚拉翰
パトラ,帕特拉
メパトラ,梅帕特拉
昏睡波,昏睡波
常世の祈り,永世的祈祷
三億百六十万の光,三亿一百六十万之光
変若水,返老还童水
呪毒散布,散布咒毒
羅刹王の宴,罗刹王的飨宴
リカーム,利卡姆
サマリカーム,萨玛利卡姆
天逆撃,天逆击
タルカジャ,塔尔卡加
マハタルカジャ,玛哈塔尔卡加
妖精王の宴,妖精王的飨宴
拡張：会心の覇気,扩张：会心的霸气
スクカジャ,斯库卡加
マハスクカジャ,玛哈斯库卡加
ラクカジャ,拉库卡加
マハラクカジャ,玛哈拉库卡加
ラスタキャンディ,强化糖球
デカジャ,迪卡加
タルンダ,塔伦达
マハタルンダ,玛哈塔伦达
拡張：貫く闘気,扩张：贯穿的斗气
神の大盾,神之巨盾
スクンダ,斯坤达
マハスクンダ,玛哈斯坤达
ラクンダ,拉坤达
マハラクンダ,玛哈拉坤达
ランダマイザ,女巫诅咒
デクンダ,迪坤达
貫く神気,贯穿的神气
テトラカーン,提特拉康
マカラカーン,玛卡拉康
チャージ,蓄力
コンセントレイト,专心致志
会心の覇気,会心的霸气
デカジャオン,迪卡加翁
禍時：貫通,祸时：贯穿
禍時：的中,祸时：命中
貫く闘気,贯穿的斗气
ヒュギエイアの杯,许癸厄亚之碗
ディアムリタ,迪亚姆利塔
何もしない,什么都不做
仲間を呼んだ,呼叫了伙伴
様子を見る,观察情况
トラフーリ,特拉芙里
エストマ,艾斯托玛
逃走,逃离
突撃,突击
怪力乱神,怪力乱神
モータルジハード,绝命斗争
アカシャアーツ,虚无艺术
ヒートウェイブ,灼热波浪
デスバウンド,死亡界限
冥界破,冥界破
ブレイブザッパー,勇气之击
ハードヒット,强力打击
地獄突き,地狱突刺
会心波,会心波
ティタノマキア,泰坦之战
ぶちかまし,舍身相撞
マッスルパンチ,肌肉铁拳
牙折り,碎牙击
貫通撃,贯穿打击
鎧通し,破甲击
目潰し,剥夺视力
成仏拳,成佛之拳
紫煙乱打,紫烟乱打
禍時：逆境,祸时：逆境
火龍撃,火龙击
氷龍撃,冰龙击
雷龍撃,雷龙击
風龍撃,风龙击
ヒステリービンタ,歇斯底里掌掴
グラム・カット,质量削减
絶命剣,绝命剑
刹那五月雨斬り,刹那五月雨斩
ベノンザッパー,猛毒之击
禍時：無償,祸时：无偿
暗夜剣,暗夜剑
霞駆け,眩目突击
反撃,反击
猛反撃,猛反击
カタストロフ,大浩劫
禍時：漲力,祸时：翻倍
朧一閃,胧一闪
バウンスクロー,弹跳钩爪
ダマスカスクロー,大马士革钩爪
虚空爪激,虚空爪激
スクラッチダンス,刮裂之舞
アクセルクロー,高速钩爪
狂乱の剛爪,狂乱硬爪
禍時：乱舞,祸时：乱舞
ベノンハント,猛毒狂猎
喰らいつき,啃咬
食いちぎり,咬碎
狂いかみつき,狂咬
丸かじり,大快朵颐
夢見針,织梦针
毒針,毒针
乱れ針,乱针
狂乱針,狂乱针
ヤブサメショット,薮雨射击
鉄鋼針,铁钢针
ぶっ潰し,全体击溃
メガトンプレス,百万吨袭击
禍時：三顧,祸时：三顾
暴れまくり,横冲直撞
死んでくれる？,可以为我而死吗？
キングブフーラ,王者布芙拉
常世より舞う雪風,常世雪风之舞
ジャックブフーラ,杰克布芙拉
地獄の焼きごて,地狱的烙印
熱りたつ業火,激昂业火
熱りたつ豪雹,激昂豪雹
熱りたつ雷光,激昂雷光
熱りたつ大嵐,激昂暴风
シナイの神火,西奈神火
マク・ア・ルイン,枪之子
バビロンの杯,巴比伦之杯
ファイナルヌード,终极诱惑
警戒のフホホイ,警戒的呼吼嘿
狐火のアプト,狐火之雨
グングニル,永恒之枪
八艘跳び,八艘跳跃
血のアンダルシア,染血的安达卢西亚
テラーソード,恐惧之剑
ペストクロップ,夺命瘟疫
ゴッドアロー,神箭
ソウルバランス,灵魂平衡
魔緑のラッパ,魔绿号角
メセクテトの旅路,麦塞克泰特的航行
会心剣,会心剑
渾身剣,竭力剑
黒龍撃,黑龙击
白龍撃,白龙击
力のドナム,力之赠礼
魔のドナム,魔之赠礼
挑発,挑衅
禍時：蛮攻,祸时：蛮攻
毒の液,毒液
スフレデクレール,雷电气息
メッタ裂き,四分五裂
実りの舞,结实之舞
カゲロウシュート,阳炎射击
月下氷霜,月下冰霜
嵐からの歌声,暴风雨中的歌声
カルナック,卡奈克
とんぼ蹴り,回旋踢击
ヘリオポリスの暁,赫里奥波里斯的烈阳
咆哮,咆哮
ターンダヴァ,湿婆之跃
ヘルスプラッシュ,地狱喷射
メギドフレイム,米吉多之火
ワルプルギスの夜,沃普尔吉斯之夜
絶・閃光斬烈牙,绝·闪光斩烈牙
日輪の光,日轮之光
某を見よ,看着某吧
ヘルスピン,地狱回旋
落光,落光
濫堕,堕落狂击
搾血,榨取血液
舞踊撃,舞蹈击
土偶発破,土偶发破
禍時：幸運,祸时：幸运
煩悩即菩提,烦恼即菩提
黄金のリンゴ,金苹果
いにしえの母の愛,古老的母爱
赤のカポーテ,血色斗牛士
祝福,祝福
エレウシスの実り,厄琉西斯的丰收
ケラウノス,雷霆
大暴れ,天翻地覆
稲妻一閃,雷光一闪
蓄雷,蓄雷
天龍雷公,天龙雷公
アタック,攻击
バビロンの呪い,巴比伦的诅咒
滅びのシルト,毁灭的淤泥
逆薙,逆扫
神矢来,逐神
天剣叢雲,天剑丛云
瞑想,冥想
ヘルバーナー,地狱燃火
麁正連斬,麁正连斩
荒神螺旋斬,荒神螺旋斩
轟雷,轰雷
滄海原ノ禍,沧海原之祸
ヘルエキゾースト,地狱尾气
女帝のリビドー,女帝狂欲
脳天割り,重击天灵
サマーソルト,空翻攻击
神奈備ノ守,神奈备之守
国津罪ノ穢レ,国津罪之秽
淀んだ空気,污秽空气
禍時：適性,祸时：适应度
神霊水,神灵水
布瑠言霊,布琉言灵
畏怖なる光輝,敬畏光辉
蛇毒の息,蛇毒气息
死天召喚,死天召唤
死兵召喚,死兵召唤
死霊召喚,死灵召唤
死魔召喚,死魔召唤
プルガトリウム,炼狱
インペトゥス,突袭
死蠅の葬列,死蝇的送葬
秩序の光,秩序之光
原初の混沌,原初的混沌
銀河烈星拳,银河烈星拳
神の業火,神之业火
神の雹撃,神之雹击
神の雷光,神之雷光
神の竜巻,神之龙卷
Ｃ・ダークマター,C·暗物质
Ｈ・ダークマター,H·暗物质
地母の晩餐,地母的晚餐
マグマ・アクシス,熔岩核心
ジャベリンレイン,枪雨
ゼロス・ビート,仄洛斯冲击
死亡遊戯,死亡游戏
原色の舞踏,本色之舞
神の眼光,神之眼光
神の磔刑,神之磔刑
禍時：溜力,祸时：维持蓄力
落星,落下新星
実像分身,实像分身
虚像分身,虚像分身
物理ブロック,物理抵挡
火炎ブロック,火焰抵挡
氷結ブロック,冰冻抵挡
電撃ブロック,电击抵挡
衝撃ブロック,冲击抵挡
破魔ブロック,破魔抵挡
呪殺ブロック,咒杀抵挡
混沌の理,混沌的真理
狂乱の神輝,狂乱的神辉
万物粉砕,粉碎万物
集うマガツヒ,祸灵汇聚
忿怒の暴圧,愤怒的镇压
天魔撃砕,天魔击碎
悪しき輝き,妖媚光辉
ソニックブーム,音爆
大いなる嘆願,伟大请愿
物理耐性,物理耐性
物理無効,物理无效
物理吸収,物理吸收
物理反射,物理反弹
火炎耐性,火焰耐性
火炎無効,火焰无效
火炎吸収,火焰吸收
火炎反射,火焰反弹
氷結耐性,冰冻耐性
氷結無効,冰冻无效
氷結吸収,冰冻吸收
氷結反射,冰冻反弹
電撃耐性,电击耐性
電撃無効,电击无效
電撃吸収,电击吸收
電撃反射,电击反弹
衝撃耐性,冲击耐性
衝撃無効,冲击无效
衝撃吸収,冲击吸收
衝撃反射,冲击反弹
呪殺耐性,咒杀耐性
呪殺無効,咒杀无效
呪殺吸収,咒杀吸收
呪殺反射,咒杀反弹
破魔耐性,破魔耐性
破魔無効,破魔无效
破魔吸収,破魔吸收
破魔反射,破魔反弹
勝利の小息吹,胜利小气息
勝利の息吹,胜利气息
勝利の小チャクラ,胜利小脉轮
勝利のチャクラ,胜利脉轮
活脈,活脉
大活脈,大活脉
魔脈,魔脉
大魔脈,大魔脉
呪いの還元,诅咒回馈
呪いの大還元,诅咒大回馈
食いしばり,坚忍
不屈の闘志,不屈斗志
会心専心,专注会心
底根ノ御守,底根之庇佑
朧月,胧月
閏月,闰月
リストア,再吸收
ハイリストア,高阶再吸收
延長強化,强化延长
延長強化・大,强化延长·大
毒の使い手,操毒使
猛毒使い,猛毒使
セーフティ,无恙
地獄のマスク,地狱口罩
奈落のマスク,奈落口罩
忠義の励み,忠义鼓舞
獣眼,兽眼
龍眼,龙眼
コロシの愉悦,杀戮的愉悦
ミナゴロシの愉悦,赶尽杀绝的愉悦
物理プレロマ,物理盈满
物理ギガプレロマ,物理兆倍盈满
火炎プレロマ,火焰盈满
火炎ギガプレロマ,火焰兆倍盈满
氷結プレロマ,冰冻盈满
氷結ギガプレロマ,冰冻兆倍盈满
電撃プレロマ,电击盈满
電撃ギガプレロマ,电击兆倍盈满
衝撃プレロマ,冲击盈满
衝撃ギガプレロマ,冲击兆倍盈满
回復プレロマ,恢复盈满
回復ギガプレロマ,恢复兆倍盈满
呪殺プレロマ,咒杀盈满
呪殺ギガプレロマ,咒杀兆倍盈满
破魔プレロマ,破魔盈满
破魔ギガプレロマ,破魔兆倍盈满
万能プレロマ,万能盈满
万能ギガプレロマ,万能兆倍盈满
再起の貫撃,再起之贯击
マガツヒの還元,祸灵还元
流離うもの,流浪者
悪魔の仲立ち,恶魔的仲裁
色仕掛け,色诱
謀略の母,谋略之母
怪物の贄,怪物的祭品
円満隠居,圆满隐居
黙示の四騎士,天启四骑士
岩戸開きの舞,开启岩户之舞
知恵のルーン,智慧符文
ラーの目,拉之眼
仕込み叢雲,内藏丛云
ウジャトの目,乌加特之眼
ノルンの瞬き,诺伦的一瞥
復活の大応援,复活的大声援
妖精王の魔笛,妖精王的魔笛
審判の魔笛,审判之魔笛
天逆唄,天逆歌
放埓なる反逆者,放荡的叛逆者
強者の威圧,强者的威慑
日蝕の１６ｔ,日蚀的16t
修復の９日間,修复的九天
竜血の知恵,龙血的智慧
ビヨンデッタ,恶魔情人
簒奪の野心,篡夺之野心
粛清の刃,肃清之刃
テスモポリア祭,塞斯摩弗洛斯节
代役猛犬,代理猛犬
ナーガローカ,那伽王国
１万２千の焔,一万二千之火
火炎の分星,火焰分星
氷結の分星,冰冻分星
四大の分星,四大分星
にゃん２ブロー,喵2拳
七宿連星神,七宿连星神
四鬼,四鬼
四天王,四天王
大天使の号令,大天使的号令
ベストフレンド,最佳好友
待ちぼうけ,傻傻等待
大穴牟遅の教え,大穴牟迟的教诲
武芸の師,武艺之师
モイラの糸,摩伊赖的丝线
モイラのハサミ,摩伊赖的剪刀
モイラの紡ぎ車,摩伊赖的纺车
鉄壁の守り,铁壁之守护
動乱の施し,动乱之施恩
灼熱の涙王,灼热之泪王
ヴィーナーラーガ,维纳拉格
天候平穏祈願,天候平稳祈愿
豊穣の息吹,丰饶之气息
主天使の秤,主天使之秤
漆黒の流星,漆黑流星
栄光の祈り,荣耀的祈祷
破滅の猛毒,破灭之剧毒
天命授与,授予天命
死に至る病,致死之病
連なる厄災,灾祸连连
才子多病,才子多病
必殺の調べ,必杀之旋律
烈火の調べ,烈火之旋律
凍空の調べ,冻空之旋律
稲妻の調べ,闪电之旋律
旋風の調べ,旋风之旋律
断罪の調べ,断罪之旋律
真宵の調べ,仲夜之旋律
癒しの調べ,疗愈之旋律
良き助言者,忠言挚友
物理の増幅,物理增幅
火炎の増幅,火焰增幅
氷結の増幅,冰冻增幅
電撃の増幅,电击增幅
衝撃の増幅,冲击增幅
破魔の増幅,破魔增幅
呪殺の増幅,咒杀增幅
罪と罰,罪与罚
三都破壊,三都破坏
メガロマニア,唯我独尊
禁じられた言葉,禁忌的言语
厄除けのお守り,除厄庇护
七頭のケダモノ,七首之灾兽
チャンチャラー,无常女神
豊穣の地,丰饶之地
開運予見,开运预知
たたら踏み,踩踏鞴
気合の合成,气势合成
客人歓待,欢待客人
聖女の祈り,圣女的祈祷
異常酩酊の宴,酩酊之狂宴
煩悩コントロール,控制欲望
前線の柔軟指揮,前线的灵活指挥
真夏の夜の夢,仲夏夜之梦
生贄交代,活祭替身
穣りの代償,丰饶的代价
善なる十字架,善的十字架
屠神解体,屠神解体
松柏之操,松柏之志
献身の心,献身之心
闇の象徴,黑暗的象征
イカサマ,诡计多端
輝きの龍鱗,光辉龙鳞
狂嵐の宴,暴风的飨宴
神の僕,神之仆从
お天気屋,情绪多变
死の恐怖,死亡的恐惧
魔法の竪琴,魔法竖琴
ウィルスキャリー,病毒携带者
知恵の解放,智慧的解放
反射する巨象,反弹之巨象
あるがままに,顺其自然
仇なす怪力,祸端之怪力
相乗分身,相乘分身
ヘルケイオス,宅院守护者
復讐代行,复仇代行
百発百中,百发百中
物理のノウハウ,物理秘诀
火炎のノウハウ,火焰秘诀
氷結のノウハウ,冰冻秘诀
電撃のノウハウ,电击秘诀
衝撃のノウハウ,冲击秘诀
破魔のノウハウ,破魔秘诀
呪殺のノウハウ,咒杀秘诀
弓流し,拾弓
水先案内,引路者
忠犬,忠犬
集中攻撃,集中攻击
カオスルーラー,混沌制衡者
緋緋色金光剣,绯绯色金光剑
一撃必殺,一击必杀
王の権威,王之权威
ビギナーズラック,新手的运气
悪夢継続,噩梦不断
国興し,兴国
国造り,造国
癒しの手,治愈之手
急所分析,分析要害
移り気な乙女,多情少女
三鈷杵,三钴杵
爆炎の礫,爆炎之碎石
轟音の水煙,轰鸣之水雾
絨毯雷撃,地毯式雷击
衝撃の災禍,冲击之灾祸
光焔車輪,光焰车轮
怠惰の切り札,怠惰的底牌
無尽磔刑,无尽架刑
奉仕には恩恵を,对侍奉报以恩惠
拡散の良気,福气扩散
お心ちょーだい！,把心给我吧！
裁きの鉄槌,制裁的铁锤
乾坤圏,乾坤圈
熱望の神秘,切望之神秘
和多志大神の怒り,和多志大神的愤怒
家守の獣雷,护家之兽雷
野分,野分
正義の断罪,正义的断罪
死門敲き,叩访死门
五色石の膠,五色石之浆
ハニートラップ,美人计
バイナルボム,致命爆破
敵対するもの,敌对者
鋼鉄の純潔,钢铁之纯洁
天命のタブレット,天命石板
疾風迅雷,疾风迅雷
スピードスター,速度之星
神の戒心,神之戒心
持戒の意,持戒之意
従器変換,从器转化
余剰快雷,余能快雷
星の欠片,星之碎片
一霊四魂,一灵四魂
女魔の統率,女魔的统率
女魔の狡知,女魔的狡智
女魔の虚突,女魔的乘间
女魔の峻烈,女魔的峻烈
神母の慈愛,神母之慈爱
ムシュマッヘ,崇高之蛇
概念吸収,概念吸收
繁栄の誓約,繁荣的誓约
女魔の伉儷,女魔的伉俪
終焉の夜明け,终末之黎明
まがつひせつやく,节约祸灵
猫流獅子烈破,猫流狮子烈破
爆炎ブレス,爆炎之息
フロストストーム,霜精风暴
神雷,神雷
狂旋風,狂旋风
天罰,天罚
呪いの濁流,诅咒浊流
ハーベストフェス,丰收祭典
禍時：急所,祸时：要害
四鬼剛陣,四鬼刚阵
四天の法,四天之法
妖精の遊戯,妖精的游戏
柔軟なボディ,柔软的身躯
天使の加護,天使的庇佑
禍時：没収,祸时：没收
ダーナの叡智,达奴的智慧
秩序の逆波,秩序之逆浪
秩序の霧雨,秩序之雾雨
秩序の流泉,秩序之流泉
混沌の荒波,混沌之骇浪
混沌の豪雨,混沌之暴雨
混沌の噴泉,混沌之喷泉
禍時：追撃,祸时：追击
禍時：倹約,祸时：节俭
禍時：自在,祸时：自在
終焉のカディシュ,末日圣颂
螺旋龍水穿,螺旋龙水穿
ミラージジャダー,蜃景激振
絡まる緑毛,缠绕的绿毛
ジャックアギラオ,杰克亚基拉欧
ゲイルチャージ,飓风冲撞
乙女の間食,少女的零嘴
ゲイ・ボルグ,迦耶伯格
ヘルズアイ,地狱之眼
天誅殺,天诛杀
マラマラダンス,魔罗罗舞
神の毒,神之毒
幻影召喚,幻影召唤
木花之栄,木花之荣
木花之栄・繚乱,木花之荣·缭乱
深淵への誘い,深渊之邀约
混沌創造,混沌创造
滾るマステマ,汹涌的憎意
汚れ無き風,纯净之风
原初の海,原初之海
コラプスレイ,崩毁射线
キングオブテイル,万话之主
４のつぎ,于四之后
良気の流布,播撒福气
ロストヒット,失落一击
こーじんらせんざん,谎神螺旋斩
審判の光,审判之光
初めに闇ありき,太初有暗
母なる土壌,慈母沃土
従魔の行軍,从魔之行军
歓喜への誘い,欢喜之邀约
悪しき果実の貪り,贪食恶果
原初の母,原初之母
幻月閃光,幻月闪光
メギドアーク,米吉多亚克
佐世木ノ舞,佐世木之舞
神ノ忌火,神之忌火
天弓花風,天弓花风
月風連刃,月风连刃
鏡花水月,镜花水月
月暦干渉,干涉月相
分神創造,创造分神
リベラマ,利悖拉玛
禍つ霊収奪,祸灵收夺
睡眠,睡眠
混乱,混乱
魅了,魅惑
封技,封技
毒,中毒
汚泥,泥淖
暗黒,黑暗
瀕死,濒死
幻惑,幻惑
攻撃力上昇,攻击力提升
防御力上昇,防御力提升
命中回避力上昇,命中回避力提升
攻撃力低下,攻击力降低
防御力低下,防御力降低
命中回避力低下,命中回避力降低
魔法反射,魔法反弹
物理チャージ,物理蓄力
魔法チャージ,魔法蓄力
会心チャージ,会心蓄力
回復チャージ,恢复蓄力
貫通チャージ,贯穿蓄力
状態変化なし,无状态变化
ダメージ軽減,伤害减少
ダメージ軽減・強,伤害减少·强
貫通チャージ・強,贯穿蓄力·强
物理無効化,物理无效化
火炎無効化,火焰无效化
氷結無効化,冰冻无效化
電撃無効化,电击无效化
衝撃無効化,冲击无效化
破魔無効化,破魔无效化
呪殺無効化,咒杀无效化
攻撃力上昇・強,攻击力提升·强
防御力上昇・強,防御力提升·强
命中回避力上昇・強,命中回避力提升·强
攻撃力低下・強,攻击力降低·强
防御力低下・強,防御力降低·强
命中回避力低下・強,命中回避力降低·强
連続攻撃チャージ,连续攻击蓄力
攻撃確定回避,攻击必定回避
マガツヒ凝集,祸灵凝集
